"source","count"
"[Cumberland Pharmaceuticals]","49"
"[Mitsubishi Tanabe Pharma Corporation]","142"
"[AlgoRx Pharmaceuticals]","8"
"[HealthPartners Institute]","126"
"[China Medical University Hospital]","327"
"[University Hospital, Strasbourg, France]","662"
"[Hematology and Oncology Specialists]","1"
"[Rigel Pharmaceuticals]","23"
"[Bhardwaj, Nina, M.D.]","1"
"[Winchester and Eastleigh Healthcare NHS Trust]","1"
"[Charles Drew University of Medicine and Science]","40"
"[Janssen, LP]","12"
"[VA Connecticut Healthcare System]","40"
"[Carruthers Dermatology Centre]","1"
"[Sheltering Arms Physical Rehabilitation Hospitals]","1"
"[Medical Compression Systems]","2"
"[Guangdong Provincial People's Hospital]","143"
"[Palmetto Retina Center, LLC]","3"
"[Kent State University]","28"
"[Farmacon]","1"
"[Carbylan Therapeutics, Inc.]","4"
"[Action Pharma A/S]","3"
"[PharmaNeuroBoost N.V.]","3"
"[The Canadian College of Naturopathic Medicine]","18"
"[Foothills Medical Centre]","3"
"[Arcion Therapeutics Inc]","1"
"[University of Massachusetts, Amherst]","35"
"[Mereo BioPharma]","38"
"[Altimmune, Inc.]","15"
"[Medlogics Device Corporation]","1"
"[Hanoi Medical University]","16"
"[Spanish Society of Pediatric Surgery]","1"
"[National Healthcare Group, Singapore]","11"
"[Optiscan Pty Ltd]","1"
"[Fondazione Humanitas per la Ricerca]","2"
"[University of Zimbabwe]","16"
"[Best Vascular, Inc.]","1"
"[Sinai Hospital of Baltimore]","3"
"[Max Zeller Soehne AG]","6"
"[NKBio Co.Ltd.]","1"
"[Clinimark, LLC]","2"
"[Torrent Pharmaceuticals Limited]","71"
"[Alberta Children's Hospital]","13"
"[Instituto Paranaense de Otorrinolaringologia]","1"
"[Nfocus Neuromedical]","1"
"[Silverchair Science & Communications, LLC]","1"
"[Oshadi Drug Administration]","9"
"[ReNeuron Limited]","8"
"[Karnes, Sasha]","1"
"[Diagnostica Stago]","4"
"[Indiana Hand to Shoulder Center]","6"
"[HeartFlow, Inc.]","7"
"[Optical Imaging, Ltd.]","1"
"[Natreon, Inc.]","2"
"[Scripps Center for Integrative Medicine]","2"
"[Kainos Medicine Inc.]","4"
"[Lata Medical Research Foundation, Nagpur]","5"
