"year","source","count"
"1999","[Northwestern University]","2"
"2004","[Abramson Cancer Center at Penn Medicine]","6"
"2004","[Indiana University]","5"
"2004","[Ludwig Institute for Cancer Research]","2"
"2004","[Endocyte]","1"
"2003","[University of California, Irvine]","1"
"2000","[University of Louisville]","1"
"2003","[New Approaches to Neuroblastoma Therapy Consortium]","2"
"2002","[Pfizer]","31"
"2003","[ICOS Corporation]","1"
"2002","[Children's Hospital Medical Center, Cincinnati]","1"
"2004","[Human Genome Sciences Inc.]","3"
"2003","[Orphan Medical]","1"
"2004","[AIDS Clinical Trials Group]","4"
"2005","[National Institute of Environmental Health Sciences (NIEHS)]","2"
"2005","[Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)]","21"
"2005","[Barnes-Jewish Hospital]","1"
"2005","[Cooperative International Neuromuscular Research Group]","3"
"2005","[GTx]","2"
"2005","[Human Service Center, Illinois]","1"
"2003","[Sharma, Kumar, M.D.]","1"
"2005","[Hammersmith Hospitals NHS Trust]","1"
"2005","[Medical University of Gdansk]","1"
"2005","[Asthmatx, Inc.]","1"
"2005","[The Royal College of Surgeons of England]","1"
"2006","[Instituto Nacional de Salud Publica, Mexico]","1"
"2005","[Corporacion Parc Tauli]","1"
"2006","[Mitsubishi Tanabe Pharma Corporation]","5"
"2006","[Stony Brook University]","3"
"2006","[Taiho Pharmaceutical Co., Ltd.]","2"
"2006","[Bukwang Pharmaceutical]","8"
"2006","[Suleyman Demirel University]","1"
"2006","[Famirea Study Group]","1"
"2006","[Napp Pharmaceuticals Limited]","1"
"2006","[Loreal USA]","2"
"2006","[Versailles Hospital]","1"
"2006","[Poznan University of Medical Sciences]","2"
"2006","[Seattle Children's Hospital]","3"
"2006","[Segeberger Kliniken GmbH]","1"
"2006","[Abeona Therapeutics, Inc]","1"
"2007","[Medicines for Malaria Venture]","4"
"2007","[Chulalongkorn University]","3"
"2006","[The University of Texas Medical Branch, Galveston]","1"
"2007","[Greater Houston Retina Research]","1"
"2007","[Groningen Research Institute for Asthma and COPD]","1"
"2007","[Austrian Urogynecology Working Group (AUWG)]","1"
"2007","[French Innovative Leukemia Organisation]","6"
"2007","[The New York Eye Cancer Center]","1"
"2007","[Janssen Scientific Affairs, LLC]","1"
"2007","[VIVA Physicians]","1"
"2007","[National Institute for Medical Research, Tanzania]","1"
"2007","[CureTech Ltd]","1"
"2007","[MemorialCare]","1"
"2008","[Takeda]","108"
"2008","[M.D. Anderson Cancer Center]","130"
"2008","[Eisai Inc.]","32"
"2008","[Grünenthal GmbH]","1"
"2008","[Warner Chilcott]","12"
